Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,5,25-34,1,Male,5,Hispanic,4,Kings,43799
2003,5,25-34,2,Female,0,Total,4,Kings,198741
2003,5,25-34,2,Female,1,White Non Hispanic,4,Kings,62527
2003,5,25-34,2,Female,2,Black Non Hispanic,4,Kings,72623
2003,5,25-34,2,Female,3,Other Non Hispanic,4,Kings,20332
2003,5,25-34,2,Female,5,Hispanic,4,Kings,43259
2003,6,35-44,0,Total,0,Total,4,Kings,367367
2003,6,35-44,0,Total,1,White Non Hispanic,4,Kings,115627
2003,6,35-44,0,Total,2,Black Non Hispanic,4,Kings,135773
2003,6,35-44,0,Total,3,Other Non Hispanic,4,Kings,40630
2003,6,35-44,0,Total,5,Hispanic,4,Kings,75337
2003,6,35-44,1,Male,0,Total,4,Kings,172711
2003,6,35-44,1,Male,1,White Non Hispanic,4,Kings,59214
2003,6,35-44,1,Male,2,Black Non Hispanic,4,Kings,56651
2003,6,35-44,1,Male,3,Other Non Hispanic,4,Kings,20736
2003,6,35-44,1,Male,5,Hispanic,4,Kings,36110
2003,6,35-44,2,Female,0,Total,4,Kings,194656
2003,6,35-44,2,Female,1,White Non Hispanic,4,Kings,56413
2003,6,35-44,2,Female,2,Black Non Hispanic,4,Kings,79122
2003,6,35-44,2,Female,3,Other Non Hispanic,4,Kings,19894
2003,6,35-44,2,Female,5,Hispanic,4,Kings,39227
2003,7,45-54,0,Total,0,Total,4,Kings,324853
2003,7,45-54,0,Total,1,White Non Hispanic,4,Kings,118953
2003,7,45-54,0,Total,2,Black Non Hispanic,4,Kings,116090
2003,7,45-54,0,Total,3,Other Non Hispanic,4,Kings,33599
2003,7,45-54,0,Total,5,Hispanic,4,Kings,56211
2003,7,45-54,1,Male,0,Total,4,Kings,148988
2003,7,45-54,1,Male,1,White Non Hispanic,4,Kings,57960
2003,7,45-54,1,Male,2,Black Non Hispanic,4,Kings,47935
2003,7,45-54,1,Male,3,Other Non Hispanic,4,Kings,17573
2003,7,45-54,1,Male,5,Hispanic,4,Kings,25520
2003,7,45-54,2,Female,0,Total,4,Kings,175865
2003,7,45-54,2,Female,1,White Non Hispanic,4,Kings,60993
2003,7,45-54,2,Female,2,Black Non Hispanic,4,Kings,68155
2003,7,45-54,2,Female,3,Other Non Hispanic,4,Kings,16026
2003,7,45-54,2,Female,5,Hispanic,4,Kings,30691
2003,8,55-64,0,Total,0,Total,4,Kings,224411
2003,8,55-64,0,Total,1,White Non Hispanic,4,Kings,89721
2003,8,55-64,0,Total,2,Black Non Hispanic,4,Kings,79817
2003,8,55-64,0,Total,3,Other Non Hispanic,4,Kings,17556
2003,8,55-64,0,Total,5,Hispanic,4,Kings,37317
2003,8,55-64,1,Male,0,Total,4,Kings,98877
