Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,5,25-34,1,Male,5,Hispanic,6,Queens,59818
2003,5,25-34,2,Female,0,Total,6,Queens,178630
2003,5,25-34,2,Female,1,White Non Hispanic,6,Queens,47819
2003,5,25-34,2,Female,2,Black Non Hispanic,6,Queens,33619
2003,5,25-34,2,Female,3,Other Non Hispanic,6,Queens,44708
2003,5,25-34,2,Female,5,Hispanic,6,Queens,52484
2003,6,35-44,0,Total,0,Total,6,Queens,366848
2003,6,35-44,0,Total,1,White Non Hispanic,6,Queens,100502
2003,6,35-44,0,Total,2,Black Non Hispanic,6,Queens,73119
2003,6,35-44,0,Total,3,Other Non Hispanic,6,Queens,91257
2003,6,35-44,0,Total,5,Hispanic,6,Queens,101970
2003,6,35-44,1,Male,0,Total,6,Queens,183622
2003,6,35-44,1,Male,1,White Non Hispanic,6,Queens,52905
2003,6,35-44,1,Male,2,Black Non Hispanic,6,Queens,32280
2003,6,35-44,1,Male,3,Other Non Hispanic,6,Queens,46716
2003,6,35-44,1,Male,5,Hispanic,6,Queens,51721
2003,6,35-44,2,Female,0,Total,6,Queens,183226
2003,6,35-44,2,Female,1,White Non Hispanic,6,Queens,47597
2003,6,35-44,2,Female,2,Black Non Hispanic,6,Queens,40839
2003,6,35-44,2,Female,3,Other Non Hispanic,6,Queens,44541
2003,6,35-44,2,Female,5,Hispanic,6,Queens,50249
2003,7,45-54,0,Total,0,Total,6,Queens,306996
2003,7,45-54,0,Total,1,White Non Hispanic,6,Queens,102072
2003,7,45-54,0,Total,2,Black Non Hispanic,6,Queens,61116
2003,7,45-54,0,Total,3,Other Non Hispanic,6,Queens,74590
2003,7,45-54,0,Total,5,Hispanic,6,Queens,69218
2003,7,45-54,1,Male,0,Total,6,Queens,147576
2003,7,45-54,1,Male,1,White Non Hispanic,6,Queens,50392
2003,7,45-54,1,Male,2,Black Non Hispanic,6,Queens,26761
2003,7,45-54,1,Male,3,Other Non Hispanic,6,Queens,37898
2003,7,45-54,1,Male,5,Hispanic,6,Queens,32525
2003,7,45-54,2,Female,0,Total,6,Queens,159420
2003,7,45-54,2,Female,1,White Non Hispanic,6,Queens,51680
2003,7,45-54,2,Female,2,Black Non Hispanic,6,Queens,34355
2003,7,45-54,2,Female,3,Other Non Hispanic,6,Queens,36692
2003,7,45-54,2,Female,5,Hispanic,6,Queens,36693
2003,8,55-64,0,Total,0,Total,6,Queens,215127
2003,8,55-64,0,Total,1,White Non Hispanic,6,Queens,86024
2003,8,55-64,0,Total,2,Black Non Hispanic,6,Queens,44635
2003,8,55-64,0,Total,3,Other Non Hispanic,6,Queens,41511
2003,8,55-64,0,Total,5,Hispanic,6,Queens,42957
2003,8,55-64,1,Male,0,Total,6,Queens,97554
2003,8,55-64,1,Male,1,White Non Hispanic,6,Queens,40181
