year,pct,arstmade,frisked,searched,sex,race,age,build,city,crimsusp,arstoffn
2015,23,N,Y,N,M,B,21,M,MANHATTAN,FEL, 
2015,33,N,Y,N,M,Q,29,T,MANHATTAN,FELONY, 
2015,75,N,Y,N,M,B,20,T,BROOKLYN,ROBBERY, 
2015,75,Y,Y,N,M,B,15,T,BROOKLYN,ROBBERY,ROBBERY
2015,75,Y,Y,N,M,B,18,M,BROOKLYN,ROBBERY,ROBBERY
2015,75,N,Y,N,M,B,15,M,BROOKLYN,ROBBERY, 
2015,75,N,Y,N,M,B,20,M,BROOKLYN,ROBBERY, 
2015,75,N,Y,N,M,P,29,M,BROOKLYN,ROBBERY, 
2015,75,Y,Y,N,M,Q,14,T,BROOKLYN,ROBBERY,ROBBERY
2015,122,N,N,N,F,B,16,T,STATEN IS,PET LARC, 
2015,25,N,Y,N,F,Q,21,M,MANHATTAN,POSSESSION OF WEAPON/FIR, 
2015,25,N,Y,Y,M,Q,23,T,MANHATTAN,CPW, 
2015,121,N,N,N,M,Q,14,T,STATEN IS,FELONY, 
2015,121,N,N,N,M,Q,17,T,STATEN IS,FELONY, 
2015,121,N,N,N,M,Q,23,T,STATEN IS,FELONY, 
2015,121,N,N,N,M,Q,25,M,STATEN IS,FELONY, 
2015,44,N,Y,N,M,B,17,M,BRONX,CPW, 
2015,7,N,Y,N,M,B,25,M,MANHATTAN,MISD, 
2015,7,Y,Y,Y,M,B,22,T,MANHATTAN,MISD,CPM
2015,44,N,Y,N,M,Q,17,T,BRONX,CPW, 
2015,73,N,Y,N,Z,Z,26,T,BROOKLYN,CPW, 
2015,73,N,Y,N,M,B,16,T,BROOKLYN,CPW, 
2015,73,N,Y,N,M,B,19,T,BROOKLYN,CPW, 
2015,47,N,Y,N,M,B,25,M,BRONX,FEL, 
2015,62,N,Y,Y,M,B,17,T,BROOKLYN,MIS, 
2015,46,N,Y,Y,M,B,16,T,BRONX,CPW, 
2015,46,N,Y,Y,M,B,18,T,BRONX,CPW, 
2015,46,N,Y,Y,M,B,17,M,BRONX,CPW, 
2015,75,N,Y,N,M,Q,19,M,BROOKLYN,CPW, 
2015,61,N,Y,N,M,B,19,M,BROOKLYN,FEL, 
2015,61,N,Y,N,M,B,19,M,BROOKLYN,FEL, 
2015,61,N,Y,N,M,B,19,M,BROOKLYN,FEL, 
2015,61,N,Y,N,M,W,30,T,BROOKLYN,FEL, 
2015,106,Y,Y,N,M,B,21,M,QUEENS,FELONY,ROBBERY
2015,122,N,N,N,M,W,41,T,STATEN IS,COMM BURGS, 
2015,5,N,Y,Y,M,Q,20,M,MANHATTAN,MISD, 
2015,66,Y,Y,Y,M,W,21,M,BROOKLYN,GLA,CPSP
2015,66,N,Y,N,M,W,20,M,BROOKLYN,GLA, 
2015,90,N,Y,N,M,P,36,M,BROOKLYN,FEL, 
2015,90,N,Y,N,M,Q,42,H,BROOKLYN,FEL, 
2015,110,Y,Y,Y,M,Q,25,T,QUEENS,ASSAULT 2,ASSAULT 2
2015,78,N,Y,N,M,B,36,T,BROOKLYN,ASSAULT FELONY, 
2015,23,N,Y,Y,M,B,17,T,MANHATTAN,F, 
2015,23,N,Y,N,M,B,19,T,MANHATTAN,F, 
2015,94,N,Y,N,M,B,28,M,BROOKLYN,MISD, 
2015,52,N,Y,N,M,Q,20,U,BRONX,PETIT LARCENY, 
2015,73,N,Y,N,M,B,18,T,BROOKLYN,ROBBERY, 
2015,52,N,N,N,M,B,25,T,BRONX,FEL, 
2015,44,N,Y,N,M,P,24,T,BRONX,CPW, 
2015,44,N,Y,N,M,Q,24,M,BRONX,CPW, 
2015,100,Y,Y,Y,M,B,28,M,QUEENS,FELONY,TRESPASS
2015,100,Y,Y,Y,M,B,24,T,QUEENS,FELONY,RESISTING
2015,122,N,Y,N,M,Q,22,M,STATEN IS,BURG, 
2015,122,N,Y,N,M,W,25,M,STATEN IS,BURG, 
2015,43,N,Y,N,M,Q,31,H,BRONX,FEL, 
2015,83,N,N,N,M,B,20,T,BROOKLYN,FELONY, 
2015,110,N,Y,N,M,Q,31,M,QUEENS,FELONY, 
2015,19,Y,Y,N,F,Q,36,H,MANHATTAN,FEL,ROBBERY
2015,19,Y,Y,N,M,P,42,T,MANHATTAN,FEL,ROBBERY
2015,94,N,Y,N,M,B,30,T,BROOKLYN,FELONY, 
2015,70,N,Y,N,M,W,35,T,BROOKLYN,MIS/CPW, 
2015,114,Y,Y,N,M,B,27,T,QUEENS,FEL,LARCENY
2015,103,N,Y,N,M,B,59,M,QUEENS,FELONY, 
2015,103,N,Y,N,M,B,55,M,QUEENS,FELONY, 
2015,75,Y,Y,Y,M,B,18,M,BROOKLYN,CPW,221.1
2015,75,Y,Y,Y,M,Z,16,M,BROOKLYN,CPW,221.1
2015,114,N,N,N,M,B,14,M,QUEENS,MAKING GRAFFITI, 
2015,114,N,N,N,M,B,145,M,QUEENS,MAKING GRAFFITI, 
2015,25,N,Y,N,M,B,26,T,MANHATTAN,CPW, 
2015,67,N,Y,Y,M,P,30,M,BROOKLYN,FEL, 
2015,113,N,Y,N,M,B,24,T,QUEENS,FEL, 
2015,43,N,Y,N,M,B,49,T,BRONX,FEL, 
2015,104,Y,Y,N,M,Q,33,T,QUEENS,UNAUTHORIZED USE,UNAUTHORIZED USE
2015,61,N,N,N,M,W,25,M,BROOKLYN,MISD, 
2015,102,Y,Y,Y,M,Q,20,T,QUEENS,GRAND LARCENY,CPSP
2015,102,Y,Y,Y,F,Q,26,M,QUEENS,MISDEMEANOR,ASSAULT 3
2015,30,N,Y,N,M,B,17,M,MANHATTAN,FEL  / ROBBERY, 
2015,70,N,Y,N,M,B,20,M,BROOKLYN,MIS/CPW, 
2015,42,N,N,N,M,B,62,T,BRONX,FEL, 
2015,13,Y,Y,Y,M,Q,42,M,MANHATTAN,MISD,265.03
2015,23,N,Y,N,M,P,17,M,MANHATTAN,FEL, 
2015,23,N,Y,N,M,Q,16,M,MANHATTAN,FEL, 
2015,23,N,Y,N,M,Q,18,M,MANHATTAN,FEL, 
