year,pct,sex,race,age,build,city,crimsusp
2014,22,M,B,15,T,MANHATTAN,FELONY
2014,22,M,B,16,T,MANHATTAN,FELNY
2014,22,M,P,13,T,MANHATTAN,FELONY
2014,7,M,Q,31,M,MANHATTAN,MISD
2014,113,M,B,18,T,QUEENS,CRIMINAL TRESPASS
2014,18,M,W,42,M,MANHATTAN,MISD
2014,40,F,Q,36,M,BRONX,CPM (MISD)
2014,40,M,Q,36,M,BRONX,CPM (MISD)
2014,76,M,B,47,T,BROOKLYN,FEL
2014,44,M,B,32,T,BRONX,CPW
2014,84,M,B,31,Z,BROOKLYN,BURGLARY (FEL)
2014,25,F,Z,41,M,MANHATTAN,MISD
2014,70,M,B,19,T,BROOKLYN,FEL
2014,25,M,Z,48,M,MANHATTAN,MISD
2014,44,M,P,24,T,BRONX,ROBBERY
2014,76,M,Q,32,H,BROOKLYN,FEL
2014,44,M,Q,22,T,BRONX,CPW
2014,70,M,B,35,M,BROOKLYN,FELONY/GLA
2014,30,M,B,30,Z,MANHATTAN,FEL  / BURGLARY
2014,40,M,Q,23,T,BRONX,CPM (MISD)
2014,40,F,Q,47,T,BRONX,CT (MISD)
2014,40,M,Q,44,M,BRONX,CT (MISD)
2014,40,M,Q,19,T,BRONX,CT (MISD)
2014,76,M,W,36,H,BROOKLYN,FEL
2014,76,Z,Z,34,H,BROOKLYN,FEL
2014,44,M,B,47,M,BRONX,CPW
2014,121,M,W,26,T,STATEN ISLAND,GRAND LARCENY
2014,81,M,B,21,M,BROOKLYN,ROBBERY
2014,44,M,B,26,T,BRONX,CPW
2014,44,M,B,27,T,BRONX,CPW
2014,84,M,B,25,T,BROOKLYN,ROBBERY (FEL)
2014,44,M,B,39,M,BRONX,CPW
2014,25,M,B,49,M,MANHATTAN,MISD
2014,112,M,W,34,M,QUEENS,FEL/GLFA
2014,66,M,W,38,M,BROOKLYN,FEL
2014,49,M,B,41,M,BRONX,MISD
2014,44,M,B,19,T,BRONX,ROBBERY
2014,44,M,B,14,T,BRONX,ROBBERY
2014,75,M,B,19,M,BROOKLYN,FEL
2014,84,M,B,42,Z,BROOKLYN,ROBBERY (FEL)
2014,84,M,B,36,Z,BROOKLYN,ROBBERY (FEL)
2014,44,M,Q,17,T,BRONX,ROBBERY
2014,44,M,Q,13,T,BRONX,ROBBERY
2014,40,M,Q,21,T,BRONX,CPM
2014,62,F,W,33,T,BROOKLYN,CRIMINAL CONTEMPT
2014,32,F,B,38,H,MANHATTAN,FELONY
2014,32,M,B,35,H,MANHATTAN,FELONY
2014,32,M,B,33,M,MANHATTAN,FELONY
